"date","growth"
"1991-06",-3.36136431855181
"1991-09",-1.97392011433912
"1991-12",5.79991452346498
"1992-03",6.99672614587961
"1992-06",-2.97705616509205
"1992-09",-0.137938963376172
"1992-12",0.0459849399828016
"1993-03",-4.71790853323881
"1993-06",0.743753845891959
"1993-09",3.09953554608882
"1993-12",0.552613488769893
"1994-03",4.80307675054163
"1994-06",1.81467930613195
"1994-09",3.24581968105555
"1994-12",2.99693881673377
"1995-03",0.0445607976843121
"1995-06",4.43119630797533
"1995-09",0.660465778322816
"1995-12",-1.10138293055115
"1996-03",-2.52255081746924
"1996-06",6.29864911295854
"1996-09",1.83126546145687
"1996-12",1.56301078069205
"1997-03",-0.780741952488029
"1997-06",4.06051003071148
"1997-09",1.50142275053717
"1997-12",3.41080727917316
"1998-03",3.76065728895973
"1998-06",-1.93929553558476
"1998-09",0.970823037633295
"1998-12",-0.126495547356953
"1999-03",4.15337519444634
"1999-06",-0.542939263729636
"1999-09",4.90141127563923
"1999-12",5.0867263285955
"2000-03",3.85378976110289
"2000-06",4.69578462620781
"2000-09",-0.159632846576585
"2000-12",0.59829497119388
"2001-03",3.84751838480177
"2001-06",0.118407421063083
"2001-09",-0.513352160889369
"2001-12",0.355467809125543
"2002-03",-0.553086507873601
"2002-06",0.434632333966078
"2002-09",2.20538118964377
"2002-12",-0.550206414123977
"2003-03",-1.49724367091153
"2003-06",-0.315924589430949
"2003-09",0.631599854902376
"2003-12",2.39886674835041
"2004-03",1.6824008760512
"2004-06",0.819072978899271
"2004-09",-0.155884647335114
"2004-12",-0.546075170136007
"2005-03",4.15477210124564
"2005-06",0.0388029296516379
"2005-09",2.47415498397459
"2005-12",0.0385004090965424
"2006-03",1.45873482206618
"2006-06",3.58815269891615
"2006-09",2.53057829060808
"2006-12",3.47617008106589
"2007-03",2.03751308810247
"2007-06",1.03579083125531
"2007-09",2.72460552698419
"2007-12",1.06280698377539
"2008-03",6.06595052719783
"2008-06",-1.98798583873128
"2008-09",-2.10316865636884
"2008-12",-8.52190175169021
"2009-03",-15.4994997838841
"2009-06",1.26807349585185
"2009-09",2.90160669140072
"2009-12",0.0380318517045453
"2010-03",0.644886099189179
"2010-06",8.6344997621584
"2010-09",2.78236523654982
"2010-12",1.45653324342945
"2011-03",5.95222238045743
"2011-06",0.476605161560428
"2011-09",2.00702879679184
"2011-12",-0.728133449447199
"2012-03",2.03544282919594
"2012-06",1.08137400275403
"2012-09",0.934831886173626
"2012-12",-2.37710045883262
"2013-03",0.253061601825166
"2013-06",2.87538303504427
"2013-09",1.28720947768031
"2013-12",1.5320911261675
"2014-03",3.25838529251889
"2014-06",-0.644031014727275
"2014-09",0.264863084927214
"2014-12",2.78904361844141
"2015-03",1.08772161358957
"2015-06",1.75071285667521
"2015-09",1.26171363541197
"2015-12",1.07332935093361
"2016-03",2.65243189637552
"2016-06",1.64166403084387
"2016-09",0.763810188897551
"2016-12",1.70405877481912
"2017-03",2.41627205462507
"2017-06",2.4582575701185
"2017-09",3.28319216713169
"2017-12",2.42052920171218
"2018-03",1.18735900002029
"2018-06",1.80227321624642
"2018-09",-0.796157936677844
"2018-12",0.0692880653041072
