"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",85.94,84.17,84.29
"6/1/1991",85.31,85.29,84.78
"9/1/1991",84.91,82.92,85.47
"12/1/1991",86.15,85.49,87.55
"3/1/1992",87.72,86.46,90.41
"6/1/1992",86.99,86.24,89.66
"9/1/1992",86.99,86.17,87.47
"12/1/1992",87.01,89.25,87.62
"3/1/1993",85.96,86.96,85.6
"6/1/1993",86.15,87.14,84.64
"9/1/1993",86.79,87.8,85.18
"12/1/1993",86.98,89.4,84.12
"3/1/1994",87.99,89.05,86.89
"6/1/1994",88.35,88.82,88.21
"9/1/1994",89.07,89.52,88.81
"12/1/1994",89.78,90.43,90.85
"3/1/1995",89.81,90.38,88.38
"6/1/1995",90.73,92.01,89.94
"9/1/1995",90.87,91.85,88.89
"12/1/1995",90.8,91.9,87.86
"3/1/1996",90.1,92.15,83.35
"6/1/1996",91.51,92.7,90.27
"9/1/1996",91.96,92.91,89.91
"12/1/1996",92.39,93.07,89.9
"3/1/1997",91.95,93.48,87.04
"6/1/1997",93.14,94.01,89.27
"9/1/1997",93.46,93.01,89.65
"12/1/1997",94.17,93.75,90.41
"3/1/1998",95.09,94.34,92.61
"6/1/1998",94.66,94.18,91.68
"9/1/1998",94.97,94.94,92.76
"12/1/1998",94.79,95.95,92.27
"3/1/1999",95.82,97.09,94.52
"6/1/1999",95.78,97.07,95.78
"9/1/1999",97.01,97.41,97.75
"12/1/1999",98.04,98.88,97.72
"3/1/2000",99.19,99.01,99.99
"6/1/2000",100.3,100.6,99.77
"9/1/2000",100.25,100.38,100.5
"12/1/2000",100.33,100.08,99.75
"3/1/2001",101.35,101.48,99.37
"6/1/2001",101.43,102.24,97.29
"9/1/2001",101.25,102.42,95.39
"12/1/2001",101.5,101.62,94.35
"3/1/2002",101.09,100.74,92.44
"6/1/2002",101.31,101.06,90.42
"9/1/2002",101.68,101.41,90.12
"12/1/2002",101.49,101.4,89.66
"3/1/2003",100.93,101.12,90.19
"6/1/2003",100.78,101.47,90.37
"9/1/2003",101.27,101.39,90.56
"12/1/2003",101.64,101.13,90.4
"3/1/2004",101.92,101.07,89.56
"6/1/2004",102,100.86,88.89
"9/1/2004",101.85,100.68,89.56
"12/1/2004",101.84,101.81,88.87
"3/1/2005",101.98,101.32,87.73
"6/1/2005",102.57,101.34,89.23
"9/1/2005",103.28,101.85,90.63
"12/1/2005",103.5,101.58,93.15
"3/1/2006",104.38,102.15,92.23
"6/1/2006",105.92,102.46,98.39
"9/1/2006",106.89,102.74,99.2
"12/1/2006",107.96,104.25,101.77
"3/1/2007",108.31,101.87,102.71
"6/1/2007",108.66,102.63,101.8
"9/1/2007",109.53,103.07,102.66
"12/1/2007",109.68,102.81,104.99
"3/1/2008",111.42,103.25,107.56
"6/1/2008",110.79,102.62,105
"9/1/2008",110.44,102.96,105.64
"12/1/2008",107.74,102.52,103.52
"3/1/2009",103.93,103.17,95.51
"6/1/2009",104.26,103.9,96.25
