"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",84.69,84.77,94.44
"6/1/1991",84.31,85.89,94.83
"9/1/1991",83.82,83.77,95.51
"12/1/1991",85.05,86.19,98.01
"3/1/1992",86.43,87.65,101.06
"6/1/1992",85.72,86.61,100.16
"9/1/1992",85.4,86.42,97.76
"12/1/1992",85.38,89.81,97.91
"3/1/1993",84.62,87.38,95.79
"6/1/1993",84.6,87.51,94.66
"9/1/1993",85.2,88.6,95.2
"12/1/1993",85.04,89.08,93.95
"3/1/1994",86.23,89.76,97.2
"6/1/1994",86.5,88.81,98.64
"9/1/1994",87.17,89.35,99.18
"12/1/1994",88.15,90.76,101.3
"3/1/1995",87.86,90.56,98.66
"6/1/1995",88.68,91.82,100.5
"9/1/1995",88.89,91.66,99.22
"12/1/1995",88.79,91.64,98.29
"3/1/1996",87.97,91.87,93.09
"6/1/1996",89.26,92.35,100.82
"9/1/1996",89.82,92.68,100.44
"12/1/1996",90.09,92.63,100.66
"3/1/1997",89.59,92.93,97.33
"6/1/1997",90.89,93.5,99.93
"9/1/1997",91.22,92.87,100.14
"12/1/1997",91.82,93.49,101.06
"3/1/1998",92.51,93.91,103.45
"6/1/1998",92.14,93.43,102.31
"9/1/1998",92.47,94.41,103.77
"12/1/1998",92.4,95.3,102.99
"3/1/1999",93.13,95.96,105.5
"6/1/1999",93.23,95.91,106.75
"9/1/1999",94.3,96.29,109.15
"12/1/1999",95.33,97.78,108.52
"3/1/2000",96.38,97.76,111
"6/1/2000",97.41,98.75,110.71
"9/1/2000",97.32,99.04,111.68
"12/1/2000",97.26,98.39,110.6
"3/1/2001",98.71,99.77,110.7
"6/1/2001",98.82,100.07,108.36
"9/1/2001",98.51,100.1,106.43
"12/1/2001",98.71,99.44,105.15
"3/1/2002",98.35,99.1,102.95
"6/1/2002",98.66,98.97,100.68
"9/1/2002",99.01,99.2,100.5
"12/1/2002",98.82,99.77,100.02
"3/1/2003",98.05,99.79,99.85
"6/1/2003",97.99,99.64,99.61
"9/1/2003",98.45,99.36,99.92
"12/1/2003",98.83,99.49,99.81
"3/1/2004",98.86,99.72,99.06
"6/1/2004",99.17,99.51,98.28
"9/1/2004",99.02,99.54,98.78
"12/1/2004",99.02,100.06,98.1
"3/1/2005",98.9,99.59,97.15
"6/1/2005",99.55,99.89,98.69
"9/1/2005",100.33,100.16,99.78
"12/1/2005",100.59,100.03,102.64
"3/1/2006",101.76,100.81,102.38
"6/1/2006",103.3,101.24,108.79
"9/1/2006",104.29,101.19,109.47
"12/1/2006",105.56,102.67,113.01
"3/1/2007",106.25,100.36,113.73
"6/1/2007",106.87,101.47,112.16
"9/1/2007",107.8,101.77,112.93
"12/1/2007",108.07,101.62,116.53
"3/1/2008",109.23,101.77,117.36
"6/1/2008",108.81,101.85,114.38
"9/1/2008",108.38,101.98,114.75
"12/1/2008",106.03,101.66,113.26
"3/1/2009",101.78,101.95,102.66
"6/1/2009",102.1,102.38,101.2
"9/1/2009",102.93,101.63,101.85
"12/1/2009",103.68,101.49,101.81
"3/1/2010",104.21,101.49,101.99
"6/1/2010",106.24,102.31,107.82
"9/1/2010",107.08,102.6,109.5
"12/1/2010",107.59,103.33,109.31
"3/1/2011",109.04,103.9,113.7
"6/1/2011",109.34,103.16,113.73
"9/1/2011",109.97,104.35,114.09
"12/1/2011",109.77,104.14,115.39
"3/1/2012",NA,NA,NA
